bed_time,rise_time,times_woke_up,deep_sleep_perc,light_sleep_perc,rem_sleep_perc,night_sleep,times_woke_up_perc,total_steps,total_steps_perc
2021-4-15 00:53:00,2021-4-17 09:22:00,1,16,65,19,8:11:00,13,3081,30.81
2021-4-17 00:05:00,2021-4-18 09:01:00,3,16,61,23,8:34:00,38,8427,84.27
2021-4-18 00:19:00,2021-4-19 09:36:00,2,20,57,23,9:01:00,25,4326,43.26
2021-4-19 20:59:00,2021-4-20 11:49:00,0,1,96,3,14:50:00,0,2218,22.18
2021-4-20 00:13:00,2021-4-21 08:45:00,3,16,65,19,8:00:00,38,5157,51.57
2021-4-21 00:09:00,2021-4-22 09:04:00,3,20,64,16,8:33:00,38,2093,20.93
2021-4-22 23:46:00,2021-4-23 07:56:00,1,22,65,13,8:06:00,13,7171,71.71
2021-4-23 23:42:00,2021-4-24 08:41:00,3,17,62,21,8:28:00,38,9476,94.76
2021-4-24 00:11:00,2021-4-25 10:16:00,1,18,62,20,9:32:00,13,14468,144.68
2021-4-25 23:56:00,2021-4-26 09:49:00,1,30,41,29,9:25:00,13,5014,50.14
2021-4-26 23:33:00,2021-4-27 07:56:00,2,17,69,14,7:51:00,25,5662,56.62
2021-4-27 00:10:00,2021-4-28 08:49:00,2,19,56,25,8:25:00,25,3116,31.16
2021-4-28 23:56:00,2021-4-29 08:30:00,1,20,60,20,8:09:00,13,4580,45.8
2021-4-29 23:59:00,2021-4-30 10:15:00,3,16,62,22,9:35:00,38,8453,84.53
2021-4-30 23:18:00,2021-5-1 08:14:00,2,22,59,19,8:20:00,25,7572,75.72
2021-5-1 00:13:00,2021-5-2 09:12:00,2,30,43,27,8:38:00,25,10838,108.38
2021-5-2 21:14:00,2021-5-3 10:00:00,4,18,64,18,11:47:00,50,7034,70.34
2021-5-3 00:08:00,2021-5-4 08:13:00,2,19,60,21,7:32:00,25,8442,84.42
2021-5-4 23:28:00,2021-5-5 09:44:00,1,32,44,24,10:07:00,13,7165,71.65
2021-5-5 23:31:00,2021-5-7 08:50:00,5,21,59,20,8:51:00,63,8075,80.75
2021-5-7 22:19:00,2021-5-8 08:36:00,2,17,62,21,10:05:00,25,4136,41.36
2021-5-8 00:28:00,2021-5-9 09:02:00,3,15,66,19,8:10:00,38,11124,111.24
2021-5-9 00:02:00,2021-5-10 10:40:00,4,12,62,26,10:06:00,50,10919,109.19
2021-5-10 22:56:00,2021-5-11 03:58:00,1,28,53,19,4:42:00,13,5228,52.28
2021-5-11 22:09:00,2021-5-12 03:59:00,1,32,42,26,5:48:00,13,8512,85.12
2021-5-12 22:08:00,2021-5-13 08:33:00,3,14,63,23,10:06:00,38,6972,69.72
2021-5-13 22:18:00,2021-5-14 04:32:00,3,25,61,14,6:03:00,38,9177,91.77
2021-5-14 22:49:00,2021-5-16 09:13:00,3,20,62,18,10:13:00,38,641,6.41
2021-5-16 23:34:00,2021-5-17 09:30:00,1,14,60,26,9:49:00,13,17747,177.47
2021-5-17 23:03:00,2021-5-18 04:09:00,1,28,44,28,5:02:00,13,3957,39.57
2021-5-18 22:46:00,2021-5-19 06:47:00,1,35,39,26,7:59:00,13,2563,25.63
